names,date_x,score,genre,orig_lang,budget_x,country
The Enforcer,12/01/2022 ,74.0,"Action, Crime, Drama, Thriller", English,1261569.0,AU
Diabolik - Ginko Attacks,11/17/2022 ,57.0,"Crime, Action", Italian,21680000.0,IT
Scream VI,03/09/2023 ,73.0,"Horror, Mystery, Thriller", English,35000000.0,AU
Avatar,12/17/2009 ,76.0,"Action, Adventure, Fantasy, Science Fiction", English,237000000.0,AU
Breaking,08/26/2022 ,67.0,"Crime, Drama, Thriller", English,72000000.0,US
Tetris,03/31/2023 ,78.0,"Thriller, History, Drama", English,172000000.0,GB
65,03/09/2023 ,63.0,"Thriller, Science Fiction, Action", English,45000000.0,AU
Thor: Love and Thunder,07/06/2022 ,66.0,"Fantasy, Action, Comedy", English,250000000.0,AU
Arctic Void,01/14/2022 ,47.0,"Science Fiction, Thriller", English,147200000.0,US
Terrifier 2,10/28/2022 ,69.0,Horror, English,250000.0,AU
John Wick,11/26/2014 ,74.0,"Action, Thriller", English,30000000.0,AU
Spider-Man: No Way Home,12/16/2021 ,80.0,"Action, Adventure, Science Fiction", English,200000000.0,AU
R.I.P.D. 2: Rise of the Damned,11/15/2022 ,66.0,"Action, Comedy, Fantasy, Crime", English,52000000.0,US
Dolphin Boy,04/07/2022 ,65.0,"Animation, Adventure, Fantasy, Comedy", Russian,115000000.0,RU
Guillermo del Toro's Pinocchio,11/24/2022 ,82.0,"Animation, Fantasy, Drama, Music", English,35000000.0,AU
A Frozen Rooster,12/14/2022 ,79.0,"Animation, Adventure, Comedy, Family"," Spanish, Castilian",113880000.0,MX
Dragon Ball Super: Super Hero,08/18/2022 ,79.0,"Animation, Science Fiction, Action", Japanese,43602530.2,AU
Nocebo,11/04/2022 ,63.0,"Mystery, Thriller, Horror", English,112000000.0,US
Prey,08/05/2022 ,78.0,"Thriller, Action, Science Fiction", English,65000000.0,AU
Hex,11/01/2022 ,61.0,"Action, Horror, Thriller", English,117480000.0,US
Medieval,09/09/2022 ,72.0,"Action, Drama, History", English,23000000.0,US
Barbie: Skipper and the Big Babysitting Adventure,03/16/2023 ,73.0,"Family, Animation", English,134400000.0,US
Super Mario Bros.,06/10/1993 ,43.0,"Action, Adventure, Comedy, Family, Science Fiction", English,42000000.0,AU
Transfusion,01/05/2023 ,64.0,"Crime, Thriller, Drama", English,104580000.0,AU
Jurassic World Dominion,06/09/2022 ,69.0,"Adventure, Action, Science Fiction", English,165000000.0,AU
The Boss Baby: Christmas Bonus,12/06/2022 ,68.0,"Animation, Family, Adventure", English,51000000.0,US
Shazam!,04/04/2019 ,70.0,"Action, Comedy, Fantasy", English,85000000.0,AU
